s_id,sch_id,s_itt_2122,sum_score,std_pretest,mean_sum,mean_pre,school_size,pretest_dev
3736,64,1,7,-0.22231414039886202,10.838709677419354,-0.20380079520182337,62,-0.01851334519703865
3509,64,1,9,-0.6595817221955844,10.838709677419354,-0.20380079520182337,62,-0.45578092699376105
1159,64,1,15,-0.11299724494968141,10.838709677419354,-0.20380079520182337,62,0.09080355025214196
5716,64,1,6,-1.6980922289628002,10.838709677419354,-0.20380079520182337,62,-1.494291433760977
5800,64,1,5,-1.315483094890668,10.838709677419354,-0.20380079520182337,62,-1.1116822996888445
2937,64,1,20,0.7068794709191731,10.838709677419354,-0.20380079520182337,62,0.9106802661209965
4009,64,1,11,0.4882456800208119,10.838709677419354,-0.20380079520182337,62,0.6920464752226353
3530,64,1,6,-1.3701415426152583,10.838709677419354,-0.20380079520182337,62,-1.166340747413435
5177,64,1,4,0.1602949936732701,10.838709677419354,-0.20380079520182337,62,0.3640957888750935
6474,64,1,14,0.8161963663683537,10.838709677419354,-0.20380079520182337,62,1.019997161570177
6184,64,1,14,-0.003680349500500814,10.838709677419354,-0.20380079520182337,62,0.20012044570132256
4518,64,1,5,-0.8235570653693554,10.838709677419354,-0.20380079520182337,62,-0.619756270167532
2294,64,1,7,-1.315483094890668,10.838709677419354,-0.20380079520182337,62,-1.1116822996888445
6355,64,1,12,-1.4247999903398487,10.838709677419354,-0.20380079520182337,62,-1.2209991951380252
3488,64,1,8,0.4882456800208119,10.838709677419354,-0.20380079520182337,62,0.6920464752226353
5928,64,1,3,-0.16765569267427172,10.838709677419354,-0.20380079520182337,62,0.036145102527551654
1485,64,1,22,0.4882456800208119,10.838709677419354,-0.20380079520182337,62,0.6920464752226353
4689,64,1,17,0.4335872322962216,10.838709677419354,-0.20380079520182337,62,0.637388027498045
1715,64,1,2,-1.3701415426152583,10.838709677419354,-0.20380079520182337,62,-1.166340747413435
6960,64,1,9,0.4882456800208119,10.838709677419354,-0.20380079520182337,62,0.6920464752226353
